block_condition,block_idx,congruency,correct_key,design_id,design_name,flanker_direction,is_correct,is_error,is_miss,isi_actual,isi_max,isi_min,mode,n_trials_in_block,paradigm,participant,responded,response_direction,response_key,rt,run_type,session,stim_duration,stim_onset,stimulus,target_direction,task_time,trial_idx,trial_idx_global,trigger_time,wall_timestamp
congruent,0,congruent,y,1,Block (CON vs INC ~7min),right,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,left,b,0.6379,base,01,1.5,16.0819,>  >  >  >  >,right,18.6114,0,0,2026-03-18_16:26:02.853945,16:26:21.465191
congruent,0,congruent,b,1,Block (CON vs INC ~7min),left,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,right,y,0.4983,base,01,1.5,18.6295,<  <  <  <  <,left,21.1619,1,1,2026-03-18_16:26:02.853945,16:26:24.015641
congruent,0,congruent,b,1,Block (CON vs INC ~7min),left,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,right,y,0.3864,base,01,1.5,21.1816,<  <  <  <  <,left,23.7118,2,2,2026-03-18_16:26:02.853945,16:26:26.565584
congruent,0,congruent,y,1,Block (CON vs INC ~7min),right,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,left,b,0.3643,base,01,1.5,23.7318,>  >  >  >  >,right,26.2787,3,3,2026-03-18_16:26:02.853945,16:26:29.132464
congruent,0,congruent,b,1,Block (CON vs INC ~7min),left,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,right,y,0.4134,base,01,1.5,26.2987,<  <  <  <  <,left,28.8291,4,4,2026-03-18_16:26:02.853945,16:26:31.682824
congruent,0,congruent,y,1,Block (CON vs INC ~7min),right,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,left,b,0.4077,base,01,1.5,28.8483,>  >  >  >  >,right,31.3789,5,5,2026-03-18_16:26:02.853945,16:26:34.232693
congruent,0,congruent,y,1,Block (CON vs INC ~7min),right,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,left,b,0.3791,base,01,1.5,31.3969,>  >  >  >  >,right,33.9461,6,6,2026-03-18_16:26:02.853945,16:26:36.799832
congruent,0,congruent,b,1,Block (CON vs INC ~7min),left,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,right,y,0.3802,base,01,1.5,33.964,<  <  <  <  <,left,36.496,7,7,2026-03-18_16:26:02.853945,16:26:39.349808
congruent,0,congruent,b,1,Block (CON vs INC ~7min),left,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,right,y,0.4061,base,01,1.5,36.5138,<  <  <  <  <,left,39.0465,8,8,2026-03-18_16:26:02.853945,16:26:41.900227
congruent,0,congruent,y,1,Block (CON vs INC ~7min),right,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,left,b,0.424,base,01,1.5,39.0642,>  >  >  >  >,right,41.613,9,9,2026-03-18_16:26:02.853945,16:26:44.466774
congruent,0,congruent,b,1,Block (CON vs INC ~7min),left,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,right,y,0.4015,base,01,1.5,41.6306,<  <  <  <  <,left,44.1634,10,10,2026-03-18_16:26:02.853945,16:26:47.017158
congruent,0,congruent,b,1,Block (CON vs INC ~7min),left,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,right,y,0.3788,base,01,1.5,44.1814,<  <  <  <  <,left,46.7136,11,11,2026-03-18_16:26:02.853945,16:26:49.567331
congruent,0,congruent,b,1,Block (CON vs INC ~7min),left,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,right,y,0.3247,base,01,1.5,46.7314,<  <  <  <  <,left,49.2637,12,12,2026-03-18_16:26:02.853945,16:26:52.117484
congruent,0,congruent,y,1,Block (CON vs INC ~7min),right,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,left,b,0.4064,base,01,1.5,49.2816,>  >  >  >  >,right,51.8137,13,13,2026-03-18_16:26:02.853945,16:26:54.667509
congruent,0,congruent,b,1,Block (CON vs INC ~7min),left,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,right,y,0.3275,base,01,1.5,51.8327,<  <  <  <  <,left,54.364,14,14,2026-03-18_16:26:02.853945,16:26:57.217794
congruent,0,congruent,b,1,Block (CON vs INC ~7min),left,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,right,y,0.4501,base,01,1.5,54.382,<  <  <  <  <,left,56.9141,15,15,2026-03-18_16:26:02.853945,16:26:59.767851
congruent,0,congruent,y,1,Block (CON vs INC ~7min),right,0,1,0,1.0,1.0,1.0,fmri,20,block,qsxqscd,1,left,b,0.4677,base,01,1.5,56.9324,>  >  >  >  >,right,59.4644,16,16,2026-03-18_16:26:02.853945,16:27:02.318204
congruent,0,congruent,y,1,Block (CON vs INC ~7min),right,0,0,1,1.0,1.0,1.0,fmri,20,block,qsxqscd,0,,,-1,base,01,1.5,59.4822,>  >  >  >  >,right,62.0142,17,17,2026-03-18_16:26:02.853945,16:27:04.868007
