block_idx,correct_rejection,false_alarm,hit,is_correct,is_target,letter,miss,mode,n_level,participant,responded,rt,run_type,session,timestamp,trial_idx
0,0,0,0,0,1,X,1,pc,0-back,sdve,0,-1,base,02,13:40:03.377593,0
0,1,0,0,1,0,H,0,pc,0-back,sdve,0,-1,base,02,13:40:05.914681,1
0,1,0,0,1,0,B,0,pc,0-back,sdve,0,-1,base,02,13:40:08.449218,2
0,1,0,0,1,0,R,0,pc,0-back,sdve,0,-1,base,02,13:40:10.990483,3
0,1,0,0,1,0,W,0,pc,0-back,sdve,0,-1,base,02,13:40:13.523910,4
0,1,0,0,1,0,Z,0,pc,0-back,sdve,0,-1,base,02,13:40:16.057702,5
0,1,0,0,1,0,G,0,pc,0-back,sdve,0,-1,base,02,13:40:18.590915,6
0,0,0,0,0,1,X,1,pc,0-back,sdve,0,-1,base,02,13:40:21.124443,7
0,0,0,1,1,1,X,0,pc,0-back,sdve,1,20.9111,base,02,13:40:23.657888,8
0,1,0,0,1,0,H,0,pc,0-back,sdve,0,-1,base,02,13:40:26.191589,9
1,1,0,0,1,0,R,0,pc,2-back,sdve,0,-1,base,02,13:40:41.796926,0
1,1,0,0,1,0,V,0,pc,2-back,sdve,0,-1,base,02,13:40:44.334240,1
1,1,0,0,1,0,B,0,pc,2-back,sdve,0,-1,base,02,13:40:46.868391,2
1,1,0,0,1,0,R,0,pc,2-back,sdve,0,-1,base,02,13:40:49.409747,3
1,1,0,0,1,0,H,0,pc,2-back,sdve,0,-1,base,02,13:40:51.943231,4
1,1,0,0,1,0,P,0,pc,2-back,sdve,0,-1,base,02,13:40:54.476610,5
1,0,0,1,1,1,H,0,pc,2-back,sdve,1,20.7987,base,02,13:40:57.010212,6
1,0,0,1,1,1,P,0,pc,2-back,sdve,1,20.8176,base,02,13:40:59.543618,7
1,1,0,0,1,0,D,0,pc,2-back,sdve,0,-1,base,02,13:41:02.077091,8
1,0,0,1,1,1,P,0,pc,2-back,sdve,1,20.8144,base,02,13:41:04.610686,9
2,1,0,0,1,0,J,0,pc,1-back,sdve,0,-1,base,02,13:41:20.216073,0
2,1,0,0,1,0,P,0,pc,1-back,sdve,0,-1,base,02,13:41:22.750527,1
2,0,0,0,0,1,P,1,pc,1-back,sdve,0,-1,base,02,13:41:25.287560,2
2,1,0,0,1,0,C,0,pc,1-back,sdve,0,-1,base,02,13:41:27.828718,3
2,1,0,0,1,0,N,0,pc,1-back,sdve,0,-1,base,02,13:41:30.362063,4
2,1,0,0,1,0,S,0,pc,1-back,sdve,0,-1,base,02,13:41:32.895857,5
2,0,0,0,0,1,S,1,pc,1-back,sdve,0,-1,base,02,13:41:35.429223,6
2,1,0,0,1,0,T,0,pc,1-back,sdve,0,-1,base,02,13:41:37.962772,7
2,1,0,0,1,0,M,0,pc,1-back,sdve,0,-1,base,02,13:41:40.496251,8
2,0,0,0,0,1,M,1,pc,1-back,sdve,0,-1,base,02,13:41:43.029541,9
