block_idx,correct_rejection,design_id,design_name,false_alarm,hit,is_correct,is_target,isi_duration,letter,miss,mode,n_level,n_level_label,n_trials_in_block,participant,responded,rest_duration,rt,run_type,session,stim_duration,stim_onset,task_time,trial_idx,trigger_time,wall_timestamp,zero_back_target
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,Z,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,18.087,20.634,0,2026-03-18_12:40:26.103193,12:40:46.736988,T
0,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,20.6525,23.1844,1,2026-03-18_12:40:26.103193,12:40:49.287373,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,F,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,23.2027,25.7356,2,2026-03-18_12:40:26.103193,12:40:51.838587,T
0,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,25.7536,28.2848,3,2026-03-18_12:40:26.103193,12:40:54.387862,T
0,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,28.3024,30.8346,4,2026-03-18_12:40:26.103193,12:40:56.937582,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,H,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,30.8529,33.3847,5,2026-03-18_12:40:26.103193,12:40:59.487669,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,C,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,33.4014,36.2288,6,2026-03-18_12:40:26.103193,12:41:02.331868,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,S,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,37.2292,41.23,7,2026-03-18_12:40:26.103193,12:41:07.332973,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,H,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,42.2296,47.2291,8,2026-03-18_12:40:26.103193,12:41:13.332135,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,Z,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,48.2297,53.23,9,2026-03-18_12:40:26.103193,12:41:19.333023,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,P,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,54.2298,59.2302,10,2026-03-18_12:40:26.103193,12:41:25.333222,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,V,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,60.2299,65.2301,11,2026-03-18_12:40:26.103193,12:41:31.333075,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,S,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,66.2295,70.23,12,2026-03-18_12:40:26.103193,12:41:36.333026,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,F,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,71.2296,75.2301,13,2026-03-18_12:40:26.103193,12:41:41.333161,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,Z,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,76.2296,80.2301,14,2026-03-18_12:40:26.103193,12:41:46.333146,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,J,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,81.2301,85.2297,15,2026-03-18_12:40:26.103193,12:41:51.332705,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,G,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,86.2292,90.2298,16,2026-03-18_12:40:26.103193,12:41:56.332829,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,B,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,91.2297,95.2296,17,2026-03-18_12:40:26.103193,12:42:01.332609,T
0,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,96.2293,100.2297,18,2026-03-18_12:40:26.103193,12:42:06.332695,T
0,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,101.2295,105.2301,19,2026-03-18_12:40:26.103193,12:42:11.333104,T
0,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,106.2299,110.2294,20,2026-03-18_12:40:26.103193,12:42:16.332436,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,H,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,111.2298,116.23,21,2026-03-18_12:40:26.103193,12:42:22.333042,T
0,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,117.2293,122.2291,22,2026-03-18_12:40:26.103193,12:42:28.332169,T
0,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,Z,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,123.2295,128.2289,23,2026-03-18_12:40:26.103193,12:42:34.331959,T
0,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,129.2294,134.2299,24,2026-03-18_12:40:26.103193,12:42:40.332875,T
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,Z,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,157.2297,162.2301,0,2026-03-18_12:40:26.103193,12:43:08.333146,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,F,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,163.2296,167.2302,1,2026-03-18_12:40:26.103193,12:43:13.333219,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,P,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,168.2298,173.23,2,2026-03-18_12:40:26.103193,12:43:19.332987,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,N,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,174.2295,178.2297,3,2026-03-18_12:40:26.103193,12:43:24.332753,
1,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,P,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,179.2293,183.23,4,2026-03-18_12:40:26.103193,12:43:29.333010,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,M,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,184.2298,189.2293,5,2026-03-18_12:40:26.103193,12:43:35.332338,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,Z,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,190.23,194.2296,6,2026-03-18_12:40:26.103193,12:43:40.332647,
