participant,session,run,scanner,mode,design_id,design_name,trigger_time,block_idx,trial_idx,task_time,wall_timestamp,n_level,n_level_label,n_trials_in_block,letter,zero_back_target,is_target,responded,rt,stim_onset,stim_duration,isi_duration,hit,miss,false_alarm,correct_rejection,is_correct,trial_idx_global
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,0,0,12.1007,16:28:24.702499,0,0-back,12,C,D,0,0,-1,10.0818,0.5,1.5,0,0,0,1,1,0
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,0,1,14.1482,16:28:26.749951,0,0-back,12,D,D,1,1,0.5805,12.1173,0.5,1.5,1,0,0,0,1,1
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,0,2,16.1987,16:28:28.800489,0,0-back,12,S,D,0,0,-1,14.1649,0.5,1.5,0,0,0,1,1,2
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,0,3,18.2486,16:28:30.850423,0,0-back,12,C,D,0,0,-1,16.2151,0.5,1.5,0,0,0,1,1,3
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,0,4,20.2819,16:28:32.883725,0,0-back,12,G,D,0,0,-1,18.2651,0.5,1.5,0,0,0,1,1,4
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,0,5,22.3321,16:28:34.933879,0,0-back,12,C,D,0,0,-1,20.2991,0.5,1.5,0,0,0,1,1,5
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,0,6,24.3825,16:28:36.984311,0,0-back,12,W,D,0,0,-1,22.349,0.5,1.5,0,0,0,1,1,6
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,0,7,26.449,16:28:39.050813,0,0-back,12,D,D,1,1,0.433,24.3993,0.5,1.5,1,0,0,0,1,7
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,0,8,28.4995,16:28:41.101264,0,0-back,12,V,D,0,0,-1,26.466,0.5,1.5,0,0,0,1,1,8
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,0,9,30.5497,16:28:43.151494,0,0-back,12,D,D,1,1,0.4329,28.5167,0.5,1.5,1,0,0,0,1,9
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,0,10,32.5828,16:28:45.184567,0,0-back,12,C,D,0,0,-1,30.5669,0.5,1.5,0,0,0,1,1,10
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,0,11,34.6491,16:28:47.250864,0,0-back,12,H,D,0,0,-1,32.5995,0.5,1.5,0,0,0,1,1,11
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,1,0,46.7529,16:28:59.354700,2,2-back,12,B,,0,0,-1,44.7197,0.5,1.5,0,0,0,1,1,12
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,1,1,48.8003,16:29:01.402053,2,2-back,12,J,,0,0,-1,46.7741,0.5,1.5,0,0,0,1,1,13
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,1,2,50.8343,16:29:03.436053,2,2-back,12,R,,0,0,-1,48.8169,0.5,1.5,0,0,0,1,1,14
bhqs,01,01,pc,pc,1,Compact 0v2 (~6min),2026-07-02_16:28:12.601787,1,3,52.8844,16:29:05.486177,2,2-back,12,F,,0,0,-1,50.8509,0.5,1.5,0,0,0,1,1,15
